sentence_id	distance	rank_order
Sentence487	4339	baseline2021 ranked at 741, higher than cat+oci+spa-eng at 5080
Sentence6320	4337	baseline2021 ranked at 1980, higher than cat+oci+spa-eng at 6317
Sentence4582	4332	cat+oci+spa-eng ranked at 1933, higher than baseline2021 at 6265
Sentence3467	4332	baseline2021 ranked at 616, higher than cat+oci+spa-eng at 4948
Sentence1714	4331	baseline2021 ranked at 435, higher than cat+oci+spa-eng at 4766
Sentence3840	4329	baseline2021 ranked at 1544, higher than cat+oci+spa-eng at 5873
Sentence666	4327	cat+oci+spa-eng ranked at 1570, higher than baseline2021 at 5897
Sentence6274	4324	baseline2021 ranked at 126, higher than cat+oci+spa-eng at 4450
Sentence259	4323	cat+oci+spa-eng ranked at 976, higher than baseline2021 at 5299
Sentence4669	4320	cat+oci+spa-eng ranked at 1344, higher than baseline2021 at 5664
Sentence525	4320	baseline2021 ranked at 1798, higher than cat+oci+spa-eng at 6118
Sentence4027	4319	baseline2021 ranked at 1266, higher than cat+oci+spa-eng at 5585
Sentence4522	4312	cat+oci+spa-eng ranked at 166, higher than baseline2021 at 4478
Sentence4524	4300	cat+oci+spa-eng ranked at 1387, higher than baseline2021 at 5687
Sentence4609	4296	baseline2021 ranked at 330, higher than cat+oci+spa-eng at 4626
Sentence5854	4294	cat+oci+spa-eng ranked at 1254, higher than baseline2021 at 5548
Sentence2243	4292	cat+oci+spa-eng ranked at 811, higher than baseline2021 at 5103
Sentence3491	4290	baseline2021 ranked at 1009, higher than cat+oci+spa-eng at 5299
Sentence4811	4282	baseline2021 ranked at 1442, higher than cat+oci+spa-eng at 5724
Sentence5193	4277	cat+oci+spa-eng ranked at 1595, higher than baseline2021 at 5872
Sentence28	4273	cat+oci+spa-eng ranked at 728, higher than baseline2021 at 5001
Sentence1959	4268	baseline2021 ranked at 1327, higher than cat+oci+spa-eng at 5595
Sentence1468	4267	baseline2021 ranked at 1725, higher than cat+oci+spa-eng at 5992
Sentence4241	4255	cat+oci+spa-eng ranked at 1082, higher than baseline2021 at 5337
Sentence157	4253	cat+oci+spa-eng ranked at 2108, higher than baseline2021 at 6361
Sentence2607	4249	cat+oci+spa-eng ranked at 161, higher than baseline2021 at 4410
Sentence537	4245	cat+oci+spa-eng ranked at 1226, higher than baseline2021 at 5471
Sentence4542	4239	baseline2021 ranked at 386, higher than cat+oci+spa-eng at 4625
Sentence3363	4237	cat+oci+spa-eng ranked at 1958, higher than baseline2021 at 6195
Sentence1919	4227	cat+oci+spa-eng ranked at 2009, higher than baseline2021 at 6236
Sentence404	4215	baseline2021 ranked at 1237, higher than cat+oci+spa-eng at 5452
Sentence5536	4215	baseline2021 ranked at 1404, higher than cat+oci+spa-eng at 5619
Sentence102	4211	cat+oci+spa-eng ranked at 1713, higher than baseline2021 at 5924
Sentence37	4187	cat+oci+spa-eng ranked at 782, higher than baseline2021 at 4969
Sentence1802	4181	cat+oci+spa-eng ranked at 1633, higher than baseline2021 at 5814
Sentence6209	4179	cat+oci+spa-eng ranked at 2252, higher than baseline2021 at 6431
Sentence4346	4168	cat+oci+spa-eng ranked at 824, higher than baseline2021 at 4992
Sentence2317	4167	cat+oci+spa-eng ranked at 50, higher than baseline2021 at 4217
Sentence6494	4163	cat+oci+spa-eng ranked at 1012, higher than baseline2021 at 5175
Sentence6333	4159	baseline2021 ranked at 1857, higher than cat+oci+spa-eng at 6016
Sentence4132	4156	cat+oci+spa-eng ranked at 1234, higher than baseline2021 at 5390
Sentence5078	4155	cat+oci+spa-eng ranked at 372, higher than baseline2021 at 4527
Sentence280	4152	cat+oci+spa-eng ranked at 2067, higher than baseline2021 at 6219
Sentence887	4151	cat+oci+spa-eng ranked at 1059, higher than baseline2021 at 5210
Sentence390	4151	cat+oci+spa-eng ranked at 1723, higher than baseline2021 at 5874
Sentence4860	4142	baseline2021 ranked at 284, higher than cat+oci+spa-eng at 4426
Sentence687	4140	cat+oci+spa-eng ranked at 32, higher than baseline2021 at 4172
Sentence1504	4136	cat+oci+spa-eng ranked at 840, higher than baseline2021 at 4976
Sentence1491	4135	baseline2021 ranked at 8, higher than cat+oci+spa-eng at 4143
Sentence1346	4130	cat+oci+spa-eng ranked at 167, higher than baseline2021 at 4297
Sentence2996	4127	cat+oci+spa-eng ranked at 465, higher than baseline2021 at 4592
Sentence470	4113	baseline2021 ranked at 1973, higher than cat+oci+spa-eng at 6086
Sentence2877	4110	cat+oci+spa-eng ranked at 437, higher than baseline2021 at 4547
Sentence1374	4106	cat+oci+spa-eng ranked at 829, higher than baseline2021 at 4935
Sentence1665	4104	baseline2021 ranked at 1086, higher than cat+oci+spa-eng at 5190
Sentence5979	4095	cat+oci+spa-eng ranked at 89, higher than baseline2021 at 4184
Sentence319	4095	cat+oci+spa-eng ranked at 2206, higher than baseline2021 at 6301
Sentence1553	4095	cat+oci+spa-eng ranked at 2248, higher than baseline2021 at 6343
Sentence296	4092	cat+oci+spa-eng ranked at 2001, higher than baseline2021 at 6093
Sentence3413	4083	cat+oci+spa-eng ranked at 1397, higher than baseline2021 at 5480
Sentence4501	4082	baseline2021 ranked at 2063, higher than cat+oci+spa-eng at 6145
Sentence3312	4075	cat+oci+spa-eng ranked at 1909, higher than baseline2021 at 5984
Sentence3541	4074	cat+oci+spa-eng ranked at 2374, higher than baseline2021 at 6448
Sentence3124	4074	baseline2021 ranked at 1678, higher than cat+oci+spa-eng at 5752
Sentence2188	4073	cat+oci+spa-eng ranked at 889, higher than baseline2021 at 4962
Sentence5462	4066	baseline2021 ranked at 129, higher than cat+oci+spa-eng at 4195
Sentence4401	4063	baseline2021 ranked at 2148, higher than cat+oci+spa-eng at 6211
Sentence3300	4051	cat+oci+spa-eng ranked at 2334, higher than baseline2021 at 6385
Sentence356	4047	baseline2021 ranked at 2035, higher than cat+oci+spa-eng at 6082
Sentence4859	4039	cat+oci+spa-eng ranked at 1983, higher than baseline2021 at 6022
Sentence6102	4037	baseline2021 ranked at 150, higher than cat+oci+spa-eng at 4187
Sentence5541	4035	cat+oci+spa-eng ranked at 2163, higher than baseline2021 at 6198
Sentence5244	4032	baseline2021 ranked at 531, higher than cat+oci+spa-eng at 4563
Sentence5933	4028	baseline2021 ranked at 219, higher than cat+oci+spa-eng at 4247
Sentence4978	4024	cat+oci+spa-eng ranked at 21, higher than baseline2021 at 4045
Sentence5271	4023	cat+oci+spa-eng ranked at 328, higher than baseline2021 at 4351
Sentence465	4019	baseline2021 ranked at 2060, higher than cat+oci+spa-eng at 6079
Sentence3875	4011	cat+oci+spa-eng ranked at 2034, higher than baseline2021 at 6045
Sentence1622	4011	baseline2021 ranked at 1995, higher than cat+oci+spa-eng at 6006
Sentence3507	4006	cat+oci+spa-eng ranked at 1964, higher than baseline2021 at 5970
Sentence3294	4004	cat+oci+spa-eng ranked at 1290, higher than baseline2021 at 5294
Sentence1631	4001	cat+oci+spa-eng ranked at 1653, higher than baseline2021 at 5654
Sentence1654	3991	cat+oci+spa-eng ranked at 2337, higher than baseline2021 at 6328
Sentence5839	3983	cat+oci+spa-eng ranked at 620, higher than baseline2021 at 4603
Sentence3321	3983	baseline2021 ranked at 702, higher than cat+oci+spa-eng at 4685
Sentence134	3975	cat+oci+spa-eng ranked at 614, higher than baseline2021 at 4589
Sentence2073	3963	cat+oci+spa-eng ranked at 477, higher than baseline2021 at 4440
Sentence6303	3961	cat+oci+spa-eng ranked at 26, higher than baseline2021 at 3987
Sentence3374	3958	cat+oci+spa-eng ranked at 2178, higher than baseline2021 at 6136
Sentence688	3956	cat+oci+spa-eng ranked at 1359, higher than baseline2021 at 5315
Sentence763	3950	cat+oci+spa-eng ranked at 374, higher than baseline2021 at 4324
Sentence6478	3943	cat+oci+spa-eng ranked at 1716, higher than baseline2021 at 5659
Sentence4157	3943	baseline2021 ranked at 15, higher than cat+oci+spa-eng at 3958
Sentence4947	3940	baseline2021 ranked at 1089, higher than cat+oci+spa-eng at 5029
Sentence6385	3938	cat+oci+spa-eng ranked at 1664, higher than baseline2021 at 5602
Sentence4100	3937	baseline2021 ranked at 792, higher than cat+oci+spa-eng at 4729
Sentence274	3936	cat+oci+spa-eng ranked at 305, higher than baseline2021 at 4241
Sentence3759	3933	cat+oci+spa-eng ranked at 13, higher than baseline2021 at 3946
Sentence5038	3933	cat+oci+spa-eng ranked at 1350, higher than baseline2021 at 5283
Sentence5050	3930	baseline2021 ranked at 198, higher than cat+oci+spa-eng at 4128
Sentence2447	3925	cat+oci+spa-eng ranked at 2496, higher than baseline2021 at 6421
Sentence3692	3918	cat+oci+spa-eng ranked at 1151, higher than baseline2021 at 5069
Sentence1803	3915	baseline2021 ranked at 157, higher than cat+oci+spa-eng at 4072
Sentence3113	3914	baseline2021 ranked at 524, higher than cat+oci+spa-eng at 4438
Sentence3352	3913	cat+oci+spa-eng ranked at 63, higher than baseline2021 at 3976
Sentence5112	3901	cat+oci+spa-eng ranked at 77, higher than baseline2021 at 3978
Sentence3756	3898	baseline2021 ranked at 2571, higher than cat+oci+spa-eng at 6469
Sentence153	3896	cat+oci+spa-eng ranked at 1133, higher than baseline2021 at 5029
Sentence2913	3896	cat+oci+spa-eng ranked at 1567, higher than baseline2021 at 5463
Sentence47	3887	cat+oci+spa-eng ranked at 254, higher than baseline2021 at 4141
Sentence4225	3885	baseline2021 ranked at 1051, higher than cat+oci+spa-eng at 4936
Sentence5030	3883	baseline2021 ranked at 2098, higher than cat+oci+spa-eng at 5981
Sentence4118	3879	cat+oci+spa-eng ranked at 1779, higher than baseline2021 at 5658
Sentence1345	3870	baseline2021 ranked at 1337, higher than cat+oci+spa-eng at 5207
Sentence6214	3868	cat+oci+spa-eng ranked at 24, higher than baseline2021 at 3892
Sentence5376	3861	cat+oci+spa-eng ranked at 458, higher than baseline2021 at 4319
Sentence2062	3859	baseline2021 ranked at 1007, higher than cat+oci+spa-eng at 4866
Sentence3297	3858	baseline2021 ranked at 1394, higher than cat+oci+spa-eng at 5252
Sentence5101	3849	baseline2021 ranked at 1088, higher than cat+oci+spa-eng at 4937
Sentence6445	3849	baseline2021 ranked at 2164, higher than cat+oci+spa-eng at 6013
Sentence2802	3847	cat+oci+spa-eng ranked at 2032, higher than baseline2021 at 5879
Sentence3221	3845	baseline2021 ranked at 152, higher than cat+oci+spa-eng at 3997
Sentence2041	3844	cat+oci+spa-eng ranked at 1463, higher than baseline2021 at 5307
Sentence2370	3840	cat+oci+spa-eng ranked at 1816, higher than baseline2021 at 5656
Sentence3271	3836	cat+oci+spa-eng ranked at 721, higher than baseline2021 at 4557
Sentence4434	3835	cat+oci+spa-eng ranked at 2133, higher than baseline2021 at 5968
Sentence634	3835	cat+oci+spa-eng ranked at 2249, higher than baseline2021 at 6084
